"id","wrkstat","marital","childs","age","educ","paeduc","maeduc","speduc","degree","sex","race","born","parborn","granborn","income","rincome","polviews","cappun","postlife","happy","hapmar","owngun","news","tvhours","howpaid","ethnic","eth1","eth2","eth3","confinan","conbus","coneduc","conpress","conmedic","contv","agecat","childcat","news1","news2","news3","news4","news5","car1","car2","car3"
565,"Working full time","Never married",0,36,15,12,13,NA,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Pretty happy",NA,NA,"Every day",2,"Annual salary","Germany","Germany",NA,NA,"Only some","Only some","Only some","Only some","A great deal","Hardly any","35 to 44","None","Yes","No","No","No","No","Japanese","American","American"
566,"Working full time","Widowed",2,68,12,NA,NA,NA,"High school","Female","Other","No","Neither in U.S.",4,NA,NA,"Moderate","Oppose","Yes","Pretty happy",NA,"No","Less than once a week",1,NA,"Puerto Rico","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","1-2","No","No","No","Yes","Yes","Korean","American","American"
567,"Working part-time","Divorced",2,41,4,0,0,NA,"LT High school","Male","White","Yes",NA,NA,"$1000 TO 2999",NA,"Slightly liberal","Favor","Yes","Not too happy",NA,"No",NA,2,"Weekly wage","Hungary","Hungary",NA,NA,"Hardly any","A great deal","A great deal","Hardly any","A great deal","Only some","35 to 44","1-2","No","No","No","No","No","Japanese","American",NA
568,"Working full time","Separated",1,30,14,6,14,NA,"High school","Female","Other","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy",NA,NA,"Less than once a week",2,"Hourly wage","Puerto Rico","Puerto Rico",NA,NA,"Only some","Only some","Only some","Hardly any","A great deal","Only some","25 to 34","1-2","No","No","No","Yes","Yes","Japanese","Swedish",NA
569,"Working part-time","Never married",4,28,12,NA,NA,NA,"High school","Male","Other","No","Neither in U.S.",4,"$20000 - 24999","$10000 - 14999","Slightly liberal","Favor","Yes",NA,NA,NA,"Few times a week",4,NA,"Puerto Rico","Puerto Rico",NA,NA,NA,NA,"Only some","Hardly any","Only some","Hardly any","25 to 34","3-4","No","No","Yes","No","Yes","Korean","American","Japanese"
570,"Keeping house","Divorced",2,32,11,NA,11,NA,"LT High school","Female","Other","Yes","Both in U.S.",0,"$8000 TO 9999",NA,"Moderate","Favor","No",NA,NA,"No","Every day",2,NA,"Puerto Rico","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","Yes","No","No","No","No","American","Japanese",NA
571,"Unemployed, laid off","Never married",0,22,12,NA,NA,NA,"High school","Male","Other","Yes","Neither in U.S.",4,"$10000 - 14999","$8000 TO 9999","Slightly conservative","Oppose","Yes","Pretty happy",NA,NA,"Few times a week",5,NA,"Puerto Rico","Puerto Rico",NA,NA,"Only some","Only some","A great deal","Hardly any","A great deal","Hardly any","Less than 25","None","No","No","Yes","No","No","Japanese",NA,NA
572,"Working full time","Married",2,30,16,NA,12,12,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Favor",NA,"Pretty happy","Very happy","No",NA,NA,"Annual salary","Puerto Rico","Puerto Rico",NA,NA,"Only some","Only some","Hardly any","Hardly any","Only some","Hardly any","25 to 34","1-2","No","No","No","No","No","Korean","Korean","American"
573,"Working full time","Never married",0,25,12,NA,7,NA,"High school","Female","Other","Yes","Father only",4,"$20000 - 24999","$20000 - 24999","Moderate","Favor","Yes","Not too happy",NA,"No",NA,5,"Hourly wage","Puerto Rico","Puerto Rico",NA,NA,"Hardly any","Only some","A great deal",NA,"A great deal","Hardly any","25 to 34","None","No","No","Yes","No","No","German","Japanese",NA
574,"Working full time","Married",3,38,12,NA,10,12,"High school","Male","Other","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative",NA,NA,"Pretty happy","Very happy","No",NA,NA,"Weekly wage","Puerto Rico","Puerto Rico",NA,NA,"Hardly any","Only some","Hardly any","Hardly any","Hardly any","Hardly any","35 to 44","3-4","No","No","No","No","No","American","American","American"
575,"Working full time","Married",2,53,7,4,4,7,"LT High school","Female","White","Yes","Mother only",4,"$25000 or more","$25000 or more","Liberal","Favor","Yes","Very happy","Pretty happy","No",NA,1,NA,"Romania","Romania",NA,NA,"A great deal",NA,"Only some","Hardly any","A great deal","Only some","45 to 54","1-2","No","No","No","No","No","Swedish","German","Korean"
576,"Unemployed, laid off","Never married",0,36,12,NA,NA,NA,"High school","Male","Black","Yes","Both in U.S.",NA,"$10000 - 14999","$6000 TO 6999","Moderate","Oppose","Yes","Not too happy",NA,"No",NA,5,NA,"Africa","Africa",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","35 to 44","None","No","No","Yes","No","No","American","American","American"
577,"Working full time","Never married",1,35,12,NA,11,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose",NA,"Pretty happy",NA,NA,"Few times a week",3,"Hourly wage","Africa","Africa",NA,NA,"A great deal","Only some","Only some","Only some","A great deal","Only some","35 to 44","1-2","No","No","Yes","No","Yes","American","American","American"
578,"School","Never married",0,19,12,17,16,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$25000 or more",NA,"Moderate","Favor","Yes","Pretty happy",NA,"Yes","Less than once a week",8,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"Less than 25","None","No","No","Yes","No","No","Japanese",NA,NA
579,"Working part-time","Never married",0,30,12,12,10,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$5000 TO 5999","$5000 TO 5999","Slightly liberal","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Hourly wage","Africa","Africa",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","A great deal","25 to 34","None","No","No","No","No","No","Japanese",NA,NA
580,"Working full time","Married",2,48,12,8,11,12,"High school","Male","Black","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Oppose","Yes","Pretty happy","Pretty happy",NA,"Once a week",2,NA,"Africa","Africa",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","45 to 54","1-2","No","Yes","No","Yes","Yes","Other","Other",NA
581,"Working full time","Married",3,37,14,8,6,16,"Junior college","Female","Other","No","Neither in U.S.",4,"$25000 or more","$15000 - 19999","Moderate","Oppose","Yes","Not too happy","Pretty happy","No","Once a week",1,"Hourly wage","India","India",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","No","Yes","No","Yes","Yes","American",NA,NA
582,"Working full time","Separated",4,44,12,3,12,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose","Yes","Pretty happy",NA,"No","Few times a week",2,"Hourly wage","Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","3-4","No","No","No","Yes","Yes","Korean","American","German"
583,"Working full time","Married",2,34,12,8,8,12,"High school","Female","Black","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Slightly liberal","Oppose","Yes","Pretty happy","Pretty happy","No",NA,3,"Annual salary","Africa","Africa",NA,NA,"Only some","Only some","A great deal","Only some","Only some","Only some","25 to 34","1-2","No","No","Yes","No","No","Japanese","American","American"
584,"Keeping house","Married",1,31,10,10,11,12,"LT High school","Female","Black","Yes","Both in U.S.",2,"$15000 - 19999",NA,NA,"Favor",NA,"Pretty happy","Pretty happy","Yes","Less than once a week",5,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","Yes","No","No","American","German",NA
585,"Working full time","Married",3,60,14,7,7,9,"High school","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose",NA,"Pretty happy","Pretty happy",NA,"Every day",3,"Hourly wage","Africa","Africa",NA,NA,"Hardly any","Only some","A great deal","Hardly any","A great deal","Hardly any","55 to 64","3-4","Yes","No","Yes","No","No","Swedish",NA,NA
586,"Working full time","Never married",1,39,12,8,12,NA,"High school","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Slightly liberal","Oppose","Yes","Not too happy",NA,"No","Less than once a week",3,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"35 to 44","1-2","No","No","Yes","No","Yes","American","Other",NA
587,"Working full time","Never married",0,36,13,12,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Oppose","Yes","Pretty happy",NA,NA,"Every day",0,NA,NA,"Hungary","Ireland",NA,"Only some","Hardly any","Only some","Only some","A great deal","Hardly any","35 to 44","None","Yes","No","No","No","No","German","American","Japanese"
588,"Retired","Widowed",0,88,12,12,15,NA,"High school","Female","White","Yes","Both in U.S.",0,"$15000 - 19999",NA,"Slightly liberal","Oppose","Yes","Pretty happy",NA,NA,"Never",0,NA,NA,NA,NA,NA,"Only some","Only some","A great deal","Only some","A great deal","Only some","65 or older","None","No","No","No","Yes","Yes","American","Korean","American"
589,"Working full time","Divorced",0,52,17,14,15,NA,"Graduate","Female","White","Yes","Both in U.S.",3,"$25000 or more","$25000 or more","Liberal","Favor","No","Very happy",NA,"No",NA,1,NA,"American only","American only",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Only some","45 to 54","None","No","No","No","No","No","German",NA,NA
590,"School","Never married",0,25,14,16,16,NA,"High school","Male","Other","No","Neither in U.S.",4,"LT $1000",NA,"Slightly liberal",NA,NA,"Pretty happy",NA,"No","Few times a week",3,NA,"Other Asian","Other Asian",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","No","No","Yes","No","Yes","American","Japanese",NA
591,"School","Separated",0,37,15,12,12,NA,"Junior college","Male","Black","No","Neither in U.S.",4,"$20000 - 24999",NA,"Moderate","Oppose",NA,"Pretty happy",NA,"No",NA,NA,NA,"Scotland","Scotland","Non-Span Windies",NA,"A great deal","A great deal","A great deal","Only some","A great deal","Only some","35 to 44","None","No","No","No","No","No","German","Japanese","Korean"
592,"Keeping house","Married",3,36,12,NA,NA,16,"High school","Female","White","Yes","Both in U.S.",4,"$25000 or more",NA,NA,"Oppose",NA,"Very happy","Very happy","No",NA,2,NA,"Ireland","Ireland",NA,NA,"Only some","A great deal","Only some","Only some","Only some","Only some","35 to 44","3-4","No","No","No","No","No","Korean","American","Korean"
593,"Working part-time","Divorced",2,55,15,14,12,NA,"High school","Female","White","Yes","Mother only",4,"$25000 or more",NA,"Slightly conservative",NA,NA,"Not too happy",NA,"No",NA,NA,"Hourly wage",NA,"Italy","Ireland",NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","55 to 64","1-2","No","No","No","No","No","Korean",NA,NA
594,"Keeping house","Married",2,44,16,16,16,16,"Bachelor","Female","White","Yes","Both in U.S.",0,"$25000 or more",NA,"Conservative","Oppose","No","Pretty happy","Very happy","No",NA,3,NA,"Italy","Italy",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","35 to 44","1-2","No","No","Yes","No","No","American","German","American"
595,"Working full time","Married",0,33,16,12,13,12,"Bachelor","Male","White","Yes","Neither in U.S.",4,NA,NA,"Moderate","Oppose","No","Very happy","Very happy",NA,"Every day",2,"Annual salary","England and Wales","England and Wales",NA,NA,"A great deal","A great deal","Hardly any","Hardly any","Only some","Only some","25 to 34","None","Yes","No","No","No","No","Japanese","American","Swedish"
596,"Working full time","Never married",0,30,16,9,12,NA,"Bachelor","Female","White","Yes","Mother only",3,"$20000 - 24999","$20000 - 24999","Moderate","Favor","Yes","Pretty happy",NA,NA,"Once a week",1,"Other pay rate","Italy","Italy",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","25 to 34","None","No","Yes","No","Yes","Yes","American",NA,NA
597,"Working full time","Married",2,57,13,6,12,12,"High school","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Very happy","Very happy","No",NA,NA,"Annual salary","Ireland","Ireland",NA,NA,"A great deal","A great deal","Hardly any","Hardly any","A great deal","Hardly any","55 to 64","1-2","No","No","No","No","No","American","Other","American"
598,"Keeping house","Married",2,45,12,12,12,13,"High school","Female","White","Yes","Both in U.S.",3,"$25000 or more",NA,"Liberal","Favor","No","Pretty happy","Very happy","Yes","Every day",1,NA,"England and Wales","Spain","England and Wales","Scotland",NA,NA,NA,NA,NA,NA,"45 to 54","1-2","Yes","No","No","No","No","American",NA,NA
599,"Working full time","Married",2,40,14,NA,12,18,"Junior college","Male","Other","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Oppose",NA,"Pretty happy","Very happy",NA,"Every day",0,"Monthly salary","Other Spanish","Other Spanish",NA,NA,"Only some","A great deal","Only some","Only some","A great deal","Only some","35 to 44","1-2","Yes","No","No","No","No","American","Korean","Japanese"
600,"Keeping house","Married",2,60,14,12,12,NA,"High school","Female","White","Yes","Both in U.S.",4,"$25000 or more",NA,"Liberal","Favor","Yes","Very happy","Very happy","No","Every day",2,NA,"Poland","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"55 to 64","1-2","Yes","No","No","No","No","American","Korean","German"
601,"Working full time","Never married",0,29,12,12,12,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Oppose",NA,"Pretty happy",NA,NA,"Once a week",3,NA,"Africa","Africa",NA,NA,"Only some","Only some","Hardly any","Hardly any","Hardly any","Only some","25 to 34","None","No","Yes","Yes","No","Yes","Japanese",NA,NA
602,"Working full time","Married",2,47,16,11,11,13,"Bachelor","Female","White","Yes",NA,NA,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Very happy","Very happy","No","Every day",10,NA,"Italy","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","1-2","Yes","No","Yes","No","No","American","American",NA
603,"Working full time","Married",2,50,NA,12,12,16,"Graduate","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Slightly liberal","Oppose","Yes","Very happy","Very happy","No","Every day",2,"Annual salary","Ireland","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","1-2","Yes","No","No","No","No","Other",NA,NA
604,"Temporarily not working","Married",0,31,12,NA,NA,12,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$15000 - 19999","Moderate","Favor","Yes","Very happy","Pretty happy","No","Less than once a week",8,NA,"Ireland","Ireland","Germany",NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","No","No","Yes","No","No","American","American",NA
605,"Working full time","Married",0,34,15,13,12,16,"Junior college","Male","White","Yes","Both in U.S.",NA,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Pretty happy","Pretty happy",NA,"Every day",4,"Monthly salary",NA,"Germany","Hungary",NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","25 to 34","None","Yes","No","Yes","No","No","American","American","American"
606,"Working part-time","Married",2,45,12,10,10,12,"High school","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Moderate","Favor","Yes","Pretty happy","Very happy",NA,"Every day",2,"Hourly wage",NA,NA,NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","45 to 54","1-2","Yes","No","No","No","No","Japanese","Swedish","American"
607,"Retired","Divorced",3,81,12,6,8,NA,"High school","Female","Black","Yes","Both in U.S.",NA,"$15000 - 19999",NA,"Slightly liberal","Oppose",NA,"Pretty happy",NA,NA,"Never",3,NA,"Africa","Africa",NA,NA,"Only some","Hardly any","A great deal","Only some","Only some","Only some","65 or older","3-4","No","No","Yes","No","Yes","Korean","American","American"
608,"Working full time","Married",0,55,12,NA,10,12,"High school","Male","Black","Yes","Mother; Father DK",2,NA,NA,"Slightly conservative","Oppose","No","Pretty happy","Pretty happy",NA,"Less than once a week",4,NA,"Africa","Africa",NA,NA,"Only some","Only some","Only some","Only some","A great deal","Only some","55 to 64","None","No","No","Yes","No","Yes","Japanese","Japanese","German"
609,"Other","Never married",0,51,12,NA,12,NA,"High school","Male","White","Yes","Both in U.S.",4,"LT $1000",NA,"Slightly liberal","Favor",NA,"Not too happy",NA,"Yes","Every day",3,NA,"Austria","Germany","Austria",NA,NA,NA,NA,NA,NA,NA,"45 to 54","None","Yes","No","Yes","No","No","Korean",NA,NA
610,"Keeping house","Never married",1,24,11,NA,NA,NA,"LT High school","Female","Black","Yes","Both in U.S.",4,"LT $1000","LT $1000","Moderate","Oppose","Yes","Not too happy",NA,"No",NA,4,NA,"Puerto Rico","Puerto Rico",NA,NA,"A great deal","Only some","A great deal","Only some","Hardly any","Only some","Less than 25","1-2","No","No","Yes","No","No","American",NA,NA
611,"Working part-time","Never married",0,21,13,12,12,NA,"High school","Female","Other","Yes","Both in U.S.",4,"$25000 or more","$8000 TO 9999","Moderate","Favor",NA,"Pretty happy",NA,"No",NA,NA,"Hourly wage","Puerto Rico","Puerto Rico",NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","Less than 25","None","No","No","No","No","No","American","American","Japanese"
612,"Working full time","Married",1,51,14,14,12,14,"Junior college","Female","Black","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Liberal","Oppose","Yes","Very happy","Very happy","No",NA,5,"Hourly wage","American only","American only",NA,NA,"Hardly any","Only some","Only some","Hardly any","Only some","Hardly any","45 to 54","1-2","No","No","Yes","No","No","Korean","Other",NA
613,"Working full time","Married",1,32,12,NA,10,NA,"High school","Male","Black","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Moderate","Favor",NA,"Very happy","Very happy","No","Few times a week",4,"Hourly wage","West Indies","West Indies",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","Yes","No","Yes","Swedish","American","Japanese"
614,"Working full time","Married",2,44,12,NA,7,11,"High school","Female","Other","Yes","Neither in U.S.",4,"$25000 or more","$10000 - 14999","Moderate","Oppose","Yes","Very happy","Very happy",NA,"Every day",4,"Annual salary","Puerto Rico","Puerto Rico",NA,NA,"Only some","Only some","A great deal","A great deal","A great deal","Only some","35 to 44","1-2","Yes","No","Yes","No","No","American",NA,NA
615,"Working full time","Never married",0,27,12,16,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$25000 or more","Moderate","Favor",NA,"Very happy",NA,"No","Every day",2,"Annual salary","Italy","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","Yes","No","No","No","No","American",NA,NA
616,"Retired","Widowed",0,76,16,NA,NA,NA,"Bachelor","Female","White","Yes","Neither in U.S.",4,NA,NA,"Conservative","Favor","No","Not too happy",NA,NA,"Every day",2,NA,"Russia","Russia",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","None","Yes","No","No","No","No","American","Other","American"
617,"Working full time","Married",2,64,12,8,2,12,"High school","Female","White","Yes","Neither in U.S.",4,NA,NA,NA,NA,"No","Pretty happy","Pretty happy","No",NA,3,"Hourly wage","Germany","Germany",NA,NA,NA,"Hardly any","Only some","Hardly any","Only some","Hardly any","55 to 64","1-2","No","No","Yes","No","No","American",NA,NA
618,"Keeping house","Married",4,43,12,12,8,14,"High school","Female","White","Yes","Both in U.S.",3,"$25000 or more",NA,"Moderate",NA,"Yes","Pretty happy","Very happy",NA,"Every day",1,NA,"Italy","Italy",NA,NA,"Hardly any","Only some","Hardly any","Hardly any","Hardly any","Hardly any","35 to 44","3-4","Yes","No","No","No","No","American","Korean","Japanese"
619,"Working part-time","Married",2,34,12,14,9,12,"High school","Female","White","Yes","Neither in U.S.",4,"$25000 or more","$20000 - 24999","Slightly liberal",NA,"Yes","Pretty happy","Pretty happy",NA,"Never",1,"Hourly wage","Italy","Italy",NA,NA,"A great deal","A great deal","A great deal","Hardly any","Only some","A great deal","25 to 34","1-2","No","No","No","Yes","Yes","Japanese","German",NA
620,"Keeping house","Married",2,33,13,3,3,14,"High school","Female","White","Yes","Neither in U.S.",3,"$25000 or more","LT $1000","Slightly liberal","Favor","Yes","Very happy","Very happy","No","Once a week",2,NA,"Italy","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","Yes","No","Yes","Yes","Japanese","American","Japanese"
621,"Working full time","Never married",0,45,16,18,12,NA,"Bachelor","Male","White","Yes","Both in U.S.",2,"$20000 - 24999","$20000 - 24999",NA,NA,"Yes","Pretty happy",NA,NA,"Every day",2,"Other pay rate","Russia","Russia","France",NA,"Only some","Only some","Hardly any","Hardly any","Only some","Hardly any","45 to 54","None","Yes","No","No","No","No","Korean",NA,NA
622,"Retired","Married",1,80,12,NA,NA,12,"LT High school","Male","White","Yes","Neither in U.S.",4,"$25000 or more",NA,"Slightly liberal","Favor",NA,"Pretty happy","Pretty happy","No",NA,NA,NA,"Italy","Italy",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Only some","65 or older","1-2","No","No","No","No","No","Japanese","Korean","Japanese"
623,"Retired","Married",2,83,12,6,6,12,"High school","Male","White","Yes","Neither in U.S.",4,"$25000 or more",NA,"Slightly conservative","Favor","No","Very happy","Very happy","No","Every day",4,NA,"Italy","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","1-2","Yes","No","Yes","No","No","Korean","American","American"
624,"Working full time","Married",2,68,16,12,10,15,"Bachelor","Male","White","Yes","Both in U.S.",3,"$25000 or more","$20000 - 24999","Conservative","Favor","Yes","Not too happy","Very happy","No","Every day",0,"Hourly wage","Ireland","England and Wales","Ireland",NA,NA,NA,NA,NA,NA,NA,"65 or older","1-2","Yes","No","No","No","No","American","Japanese","Japanese"
625,"Working full time","Married",2,53,16,12,12,18,"Bachelor","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Favor","No","Very happy","Very happy",NA,"Every day",1,"Annual salary","Poland","Poland",NA,NA,"A great deal",NA,"Only some",NA,"Hardly any","A great deal","45 to 54","1-2","Yes","No","No","No","No","American","Japanese","American"
626,"Working full time","Married",1,52,16,16,16,16,"Bachelor","Male","White","Yes","Both in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Pretty happy","Pretty happy","No","Every day",2,"Other pay rate","Poland","Poland","Austria","Hungary",NA,NA,NA,NA,NA,NA,"45 to 54","1-2","Yes","No","No","No","No","Japanese","Korean",NA
627,"Retired","Widowed",4,73,12,5,4,NA,"High school","Male","White","No","Neither in U.S.",4,"$25000 or more",NA,"Conservative","Favor",NA,"Pretty happy",NA,NA,"Every day",3,NA,"Poland","Poland",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","65 or older","3-4","Yes","No","Yes","No","No","Korean","Japanese","Japanese"
628,"Working full time","Never married",0,35,12,12,14,NA,"High school","Male","White","Yes","Both in U.S.",2,"$25000 or more","$25000 or more","Slightly liberal","Favor","No","Pretty happy",NA,NA,"Few times a week",1,NA,"Puerto Rico","Puerto Rico",NA,NA,"Only some","Only some","Only some","Only some","A great deal","Only some","35 to 44","None","No","No","No","Yes","Yes","Japanese",NA,NA
629,"Working full time","Never married",0,25,15,12,12,NA,"High school","Male","White","Yes","Both in U.S.",0,"$25000 or more","$20000 - 24999","Slightly conservative","Favor","Yes","Pretty happy",NA,"No","Every day",3,NA,"Ireland","Ireland",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","None","Yes","No","Yes","No","No","Japanese","Swedish","Korean"
630,"Working full time","Married",1,34,16,16,12,16,"Bachelor","Female","Other","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Favor","Yes","Pretty happy","Very happy",NA,"Few times a week",1,"Other pay rate","China","China",NA,NA,"Only some","Only some","Only some","Only some","Only some","Hardly any","25 to 34","1-2","No","No","No","Yes","Yes","American","Japanese","Japanese"
631,"Working full time","Married",1,49,12,12,12,12,"High school","Male","White","Yes","Both in U.S.",3,"$25000 or more","$25000 or more","Slightly conservative","Oppose","Yes","Pretty happy","Pretty happy","Yes","Every day",2,"Annual salary","Poland","Poland",NA,NA,NA,NA,NA,NA,NA,NA,"45 to 54","1-2","Yes","No","No","No","No","American",NA,NA
632,"Working part-time","Married",2,44,17,20,14,18,"Bachelor","Female","Other","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Moderate","Oppose","Yes","Pretty happy","Pretty happy",NA,"Few times a week",5,"Monthly salary","Philippines","Philippines",NA,NA,"Only some","Only some","Only some","Hardly any","Only some","Hardly any","35 to 44","1-2","No","No","Yes","No","No","American","American","American"
633,"Working full time","Married",3,60,16,3,NA,18,"Bachelor","Female","White","Yes","Neither in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Favor",NA,"Very happy","Very happy","No",NA,NA,"Annual salary","Italy","Italy",NA,NA,"A great deal","Only some","A great deal","Only some","A great deal","Only some","55 to 64","3-4","No","No","No","No","No","Japanese","American","American"
634,"Working full time","Divorced",1,34,16,18,12,NA,"Bachelor","Male","White","Yes","Both in U.S.",1,"$25000 or more","$25000 or more","Conservative","Favor","No","Pretty happy",NA,"Yes",NA,2,NA,"Ireland","Ireland",NA,NA,"A great deal","Only some","Hardly any","Only some","Only some","A great deal","25 to 34","1-2","No","No","No","No","No","American","American","Korean"
635,"Working part-time","Married",2,56,12,12,12,16,"High school","Female","White","Yes","Both in U.S.",0,"$25000 or more","$10000 - 14999","Moderate",NA,"Yes","Very happy","Very happy","No","Every day",2,"Hourly wage",NA,"Ireland","Scotland","Germany",NA,NA,NA,NA,NA,NA,"55 to 64","1-2","Yes","No","No","No","No","American","German","Korean"
636,"Working full time","Married",2,36,18,8,12,16,"Graduate","Male","White","No","Neither in U.S.",4,"$25000 or more","$25000 or more","Slightly conservative","Oppose",NA,"Pretty happy","Very happy","No",NA,NA,"Annual salary","Ireland","Ireland",NA,NA,"Only some","Only some","Only some","Only some","Only some","Only some","35 to 44","1-2","No","No","No","No","No","American","American","American"
637,"Retired","Widowed",4,68,12,10,8,NA,"High school","Female","White","Yes","Both in U.S.",4,"$25000 or more",NA,"Conservative",NA,"Yes","Pretty happy",NA,"No","Every day",2,NA,"Netherlands","Netherlands",NA,NA,NA,NA,NA,NA,NA,NA,"65 or older","3-4","Yes","No","No","No","No","American",NA,NA
638,"Keeping house","Widowed",2,55,13,6,9,NA,"High school","Female","White","Yes","Both in U.S.",2,"$25000 or more","$5000 TO 5999","Slightly conservative","Favor","No","Pretty happy",NA,"Yes","Few times a week",1,NA,"Italy","Italy",NA,NA,NA,NA,NA,NA,NA,NA,"55 to 64","1-2","No","No","No","Yes","Yes","Japanese","American","American"
639,"Keeping house","Never married",3,26,10,12,12,NA,"LT High school","Female","Black","Yes","Both in U.S.",0,"$8000 TO 9999",NA,"Slightly conservative","Oppose","No","Very happy",NA,NA,"Never",6,NA,"American Indian","Africa","American Indian","American only","Only some","Only some","Only some","Only some","Only some","Only some","25 to 34","3-4","No","No","Yes","No","No","American","American","Korean"
640,"Working part-time","Never married",1,19,12,NA,NA,NA,"High school","Female","Other","No","Neither in U.S.",4,"$15000 - 19999","$10000 - 14999","Conservative","Oppose","No","Very happy",NA,NA,"Few times a week",1,"Hourly wage",NA,"Other Spanish","Puerto Rico",NA,"Hardly any","Only some","A great deal","Hardly any","A great deal","Hardly any","Less than 25","1-2","No","No","No","Yes","Yes","Japanese","American",NA
641,"Working part-time","Never married",0,25,11,9,14,NA,"LT High school","Male","Black","Yes","Mother only",2,"$1000 TO 2999","LT $1000","Moderate","Favor","Yes","Pretty happy",NA,"No",NA,1,"Hourly wage","Africa","Africa",NA,NA,"Only some","Only some","A great deal","Only some","Hardly any","Only some","25 to 34","None","No","No","No","No","No","American","American",NA
642,"Unemployed, laid off","Never married",1,28,12,NA,12,NA,"High school","Female","Black","Yes","Mother; Father DK",0,"$1000 TO 2999","$1000 TO 2999","Slightly liberal",NA,"Yes","Pretty happy",NA,"No","Few times a week",3,NA,"Africa","Africa",NA,NA,NA,NA,NA,NA,NA,NA,"25 to 34","1-2","No","No","Yes","No","Yes","Korean","American","Japanese"
