SL No:,Customer,Month,Amount
793,A28,25-Mar-06,471171.45
794,A29,26-Mar-06,94555.26
795,A30,27-Mar-06,140229.15
796,A31,28-Mar-06,31679.04
797,A32,29-Mar-06,219307.12
798,A33,30-Mar-06,447698.41
799,A34,31-Mar-06,28854.14
800,A35,1-Apr-06,195290.2
801,A36,2-Apr-06,347224.98
802,A37,3-Apr-06,495000.17
803,A38,4-Apr-06,100184.71
804,A39,12-Jan-04,310821.09
805,A40,3-Jan-04,64718.16
806,A41,15-Jan-04,145610.32
807,A42,25-Jan-04,3813.53
808,A43,12-Jan-04,223619.33
809,A44,3-Jan-04,361549.52
810,A45,15-Jan-04,88484.85
811,A46,25-Jan-04,402047.86
812,A47,12-Jan-04,412657.79
813,A48,3-Jan-04,99492.68
814,A49,15-Jan-04,83204.61
815,A21,25-Jan-04,41154.52
816,A22,12-Jan-04,420589.21
817,A23,3-Jan-04,302707.38
818,A24,15-Jan-04,170328.32
819,A25,12-Jan-04,274859.53
820,A26,3-Jan-04,161220.05
821,A27,15-Jan-04,343692.05
822,A28,25-Jan-04,288305.37
823,A29,17-Jan-05,201994.21
824,A30,23-Feb-05,249323.26
825,A31,1-Feb-05,105128.84
826,A32,5-Feb-04,344312.67
827,A33,28-Feb-05,325246.37
828,A34,16-Feb-05,45750.9
829,A35,23-Feb-05,334933.59
830,A36,3-Feb-05,97465.08
831,A37,4-Feb-06,452366.06
832,A38,25-Mar-06,292430.72
833,A39,31-Mar-06,343055.92
834,A40,23-Mar-06,120215.85
835,A41,19-Mar-04,2083.26
836,A42,5-Mar-06,42728.74
837,A43,4-Apr-05,335534.84
838,A44,30-Apr-06,231843.43
839,A45,25-Apr-04,487103.26
840,A46,19-Apr-06,27793.48
841,A47,6-Apr-04,12571.13
842,A48,27-Apr-05,263768.71
843,A49,5-May-04,142887.48
844,A21,6-May-06,251831.71
845,A22,7-May-05,487674.89
846,A23,8-May-06,292923.27
847,A24,9-May-05,409399.94
848,A25,10-May-06,440972.58
849,A26,11-Jul-06,213185.89
850,A27,12-Aug-05,472123.57
851,A28,5-May-04,256148.96
852,A29,6-May-06,455584.39
853,A30,7-May-05,300086.64
854,A31,8-May-06,331748.17
855,A32,9-May-05,90329.79
856,A33,10-May-06,332753.94
857,A34,11-Jul-06,48053.83
858,A35,12-Aug-05,30190.67
859,A36,13-Sep-04,429352.78
860,A37,20-Nov-05,77611.47
861,A38,21-Nov-06,101339.26
862,A39,22-Nov-05,109700.84
863,A40,23-Nov-04,429769.46
864,A41,24-May-05,454992.2
865,A42,25-May-05,111643.13
866,A43,26-May-05,330997.36
867,A44,27-May-05,289423.69
868,A45,28-May-05,396162.6
869,A46,29-May-05,14213.98
870,A47,30-May-05,204145.31
871,A48,31-May-05,419047.95
872,A49,1-Jun-05,483021.66
873,A21,2-Jun-05,177548.41
874,A22,3-Jun-05,408935.99
875,A23,3-Jul-05,230196.22
876,A24,3-Aug-05,211262.36
877,A25,3-Sep-05,336808.96
878,A26,3-Oct-05,351333.85
879,A27,3-Nov-05,409963.5
880,A28,3-Dec-05,451630.26
881,A29,3-Jan-06,321588.7
882,A30,3-Feb-06,67056.51
883,A31,3-Mar-06,396403.71
884,A32,3-Apr-06,333042.82
885,A33,3-May-06,365688.37
886,A34,3-Jun-06,104781.85
887,A35,3-Jul-06,235480.06
888,A36,3-Aug-06,281120.31
889,A37,3-Sep-06,257594.53
890,A38,3-Oct-06,317309.23
891,A39,3-Nov-06,129774.72
892,A40,3-Dec-06,169786.15
893,A41,12-Jan-04,18735.96
894,A42,3-Jan-04,224382.18
895,A43,15-Jan-04,471697.76
896,A44,25-Jan-04,265167.47
897,A45,17-Jan-05,269792.98
898,A46,23-Feb-05,364811.08
899,A47,1-Feb-05,336472.8
900,A48,5-Feb-04,271307.19
901,A49,28-Feb-05,215280.31
902,A21,16-Feb-05,119478.97
903,A22,23-Feb-05,156283.34
904,A23,3-Feb-05,257483.09
905,A24,4-Feb-06,448414.36
906,A25,25-Mar-06,245734.17
907,A26,31-Mar-06,80907.9
908,A27,23-Mar-06,197081.46
909,A28,24-Mar-06,391101.37
910,A29,25-Mar-06,148410.96
911,A30,26-Mar-06,284850.96
912,A31,27-Mar-06,103429.79
913,A32,28-Mar-06,53800.88
914,A33,29-Mar-06,325726.44
915,A34,30-Mar-06,305101.67
916,A35,31-Mar-06,450091.26
917,A36,1-Apr-06,399378.99
918,A37,2-Apr-06,6520.7
919,A38,3-Apr-06,268966.8
920,A39,4-Apr-06,472407.74
921,A40,12-Jan-04,66864.39
922,A41,3-Jan-04,201577.8
923,A42,15-Jan-04,325098.08
924,A43,25-Jan-04,460035.02
925,A44,12-Jan-04,254385.65
926,A45,3-Jan-04,484956.45
927,A46,15-Jan-04,271606.86
928,A47,25-Jan-04,148034.75
929,A48,12-Jan-04,337987.12
930,A49,3-Jan-04,17782.65
931,A21,15-Jan-04,394686.46
932,A22,25-Jan-04,483628.45
933,A23,12-Jan-04,59880.12
934,A24,3-Jan-04,60524.44
935,A25,15-Jan-04,269895.55
936,A26,12-Jan-04,373029.85
937,A27,3-Jan-04,264885.99
938,A28,15-Jan-04,26178.74
939,A29,25-Jan-04,377774.78
940,A30,17-Jan-05,228554.19
941,A31,23-Feb-05,449928.27
942,A32,1-Feb-05,87918.4
943,A33,5-Feb-04,450994.42
944,A34,28-Feb-05,335593.79
945,A35,16-Feb-05,426900.84
946,A36,23-Feb-05,21604.11
947,A37,3-Feb-05,106349.22
948,A38,4-Feb-06,454329.84
949,A39,25-Mar-06,353168.42
950,A40,31-Mar-06,497928.27
951,A41,23-Mar-06,34864.39
952,A42,19-Mar-04,145220.06
953,A43,5-Mar-06,226603.19
954,A44,4-Apr-05,30292.86
955,A45,30-Apr-06,399512.02
956,A46,25-Apr-04,466385.82
957,A47,19-Apr-06,161681.87
958,A48,6-Apr-04,305095.45
959,A49,27-Apr-05,170167.31
960,A21,5-May-04,240280.45
961,A22,6-May-06,321692.62
962,A23,7-May-05,447036.46
963,A24,8-May-06,479204.19
964,A25,9-May-05,470071.81
965,A26,10-May-06,378240.89
966,A27,11-Jul-06,241912.5
967,A28,12-Aug-05,437823.07
968,A29,5-May-04,425476.33
969,A30,6-May-06,294475.79
970,A31,7-May-05,454736.04
971,A32,8-May-06,140419.08
972,A33,9-May-05,326761.68
973,A34,10-May-06,197323.24
974,A35,11-Jul-06,169368.97
975,A36,12-Aug-05,17377.12
976,A37,13-Sep-04,25958.96
977,A38,20-Nov-05,404271.91
978,A39,21-Nov-06,31957.37
979,A40,22-Nov-05,236821.08
980,A41,23-Nov-04,55.86
981,A42,24-May-05,473177.1
982,A43,25-May-05,89907.47
983,A44,26-May-05,410817.5
984,A45,27-May-05,26949.28
985,A46,28-May-05,175753.7
986,A47,29-May-05,214550.57
987,A48,30-May-05,386873.69
988,A49,31-May-05,160090.81
989,A36,1-Jun-05,165533.79
990,A37,2-Jun-05,236079.8
991,A38,3-Jun-05,29532.29
992,A39,3-Jul-05,343050.41
993,A40,3-Aug-05,488742.81
994,A41,3-Sep-05,4110
995,A42,3-Oct-05,197897.82
996,A43,3-Nov-05,454364.16
997,A44,3-Dec-05,79696.21
998,A45,3-Jan-06,293895.7
999,A46,3-Feb-06,494046.29
1000,A47,3-Mar-06,427648.26
1001,A48,3-Apr-06,87359.12
1002,A49,3-May-06,490018.55
1003,A50,3-Jun-06,206150.39
1004,A51,3-Jul-06,163270.13
1005,A52,3-Aug-06,442850.42
1006,A53,3-Sep-06,249254.51
1007,A54,3-Oct-06,241392.8
1008,A55,3-Nov-06,185268.15
1009,A56,3-Dec-06,162103.09
1010,A57,12-Jan-04,440988.05
1011,A58,3-Jan-04,31977.43
1012,A59,15-Jan-04,493825.73
1013,A60,25-Jan-04,344020.41
1014,A61,17-Jan-05,379523.96
1015,A60,23-Feb-05,240977.23
1016,A61,1-Feb-05,313358.18
1017,A62,5-Feb-04,113317.83
1018,A36,28-Feb-05,167165.67
1019,A37,16-Feb-05,407707.96
1020,A38,23-Feb-05,345188.99
1021,A39,3-Feb-05,108573.87
1022,A40,4-Feb-06,341053.68
1023,A41,25-Mar-06,174590.36
1024,A42,31-Mar-06,20801.9
1025,A43,23-Mar-06,355639.39
1026,A44,24-Mar-06,23948.9
1027,A45,25-Mar-06,218575.36
1028,A46,26-Mar-06,255642.28
1029,A47,27-Mar-06,84875.97
1030,A48,28-Mar-06,480592.61
1031,A49,29-Mar-06,393595.5
1032,A50,30-Mar-06,106204.98
1033,A51,31-Mar-06,272046.55
1034,A52,1-Apr-06,246776.64
1035,A53,2-Apr-06,493590.96
1036,A54,3-Apr-06,238637.76
1037,A55,4-Apr-06,243784.94
1038,A56,12-Jan-04,9115.82
1039,A57,3-Jan-04,306326.87
1040,A58,15-Jan-04,139374.06
1041,A59,25-Jan-04,465841.15
1042,A60,12-Jan-04,327400.02
1043,A61,3-Jan-04,250703.65
1044,A60,15-Jan-04,398368.06
1045,A61,25-Jan-04,274783.02
1046,A62,12-Jan-04,352524.33
1047,A36,3-Jan-04,122486.54
1048,A37,15-Jan-04,99996.58
1049,A38,25-Jan-04,95843.84
1050,A39,12-Jan-04,219448.13
1051,A40,3-Jan-04,213328.24
1052,A41,15-Jan-04,278335.94
1053,A42,12-Jan-04,345966.81
1054,A43,3-Jan-04,80468.88
1055,A44,15-Jan-04,219899.68
1056,A45,25-Jan-04,181578.48
1057,A46,17-Jan-05,274581.94
1058,A47,23-Feb-05,399353.44
1059,A48,1-Feb-05,127400.48
1060,A49,5-Feb-04,310611.03
1061,A50,28-Feb-05,29753.02
1062,A51,16-Feb-05,295108.43
1063,A52,23-Feb-05,42341.42
1064,A53,3-Feb-05,329570.28
1065,A54,4-Feb-06,394830.51
1066,A55,25-Mar-06,344561.38
1067,A56,31-Mar-06,139586.67
1068,A57,23-Mar-06,78544.42
1069,A58,19-Mar-04,328774.35
1070,A59,5-Mar-06,221678.04
1071,A60,4-Apr-05,293495.93
1072,A61,30-Apr-06,492378.08
1073,A60,25-Apr-04,471236.83
1074,A61,19-Apr-06,477432.68
1075,A62,6-Apr-04,200155.07
1076,A36,27-Apr-05,48039.88
1077,A37,5-May-04,44579.08
1078,A38,6-May-06,80172.2
1079,A39,7-May-05,453417.45
1080,A40,8-May-06,75991.64
1081,A41,9-May-05,146021.03
1082,A42,10-May-06,408702.05
1083,A43,11-Jul-06,355871.15
1084,A44,12-Aug-05,188094.3
1085,A45,5-May-04,56814.29
1086,A46,6-May-06,416991.24
1087,A47,7-May-05,453048.51
1088,A48,8-May-06,291853.29
1089,A49,9-May-05,272829.68
1090,A50,10-May-06,213679.23
1091,A51,11-Jul-06,407154.67
1092,A52,12-Aug-05,35505.11
1093,A53,13-Sep-04,304492.5
1094,A54,20-Nov-05,469918.75
1095,A55,21-Nov-06,18518.41
1096,A56,22-Nov-05,193204.97
1097,A57,23-Nov-04,103841.25
1098,A58,24-May-05,48581.88
1099,A59,25-May-05,311132.81
1100,A60,26-May-05,470905.99
1101,A61,27-May-05,425132.51
1102,A60,28-May-05,318410.3
1103,A61,29-May-05,143633.16
1104,A62,30-May-05,424135.9
1105,A36,31-May-05,316914.74
1106,A37,1-Jun-05,370914.62
1107,A38,2-Jun-05,185739.75
1108,A39,3-Jun-05,235033.71
1109,A40,3-Jul-05,242107.49
1110,A41,3-Aug-05,6865.68
1111,A42,3-Sep-05,3937.81
1112,A43,3-Oct-05,415860.27
1113,A44,3-Nov-05,431079.67
1114,A45,3-Dec-05,410935.52
1115,A46,3-Jan-06,417493.07
1116,A47,3-Feb-06,20956.5
1117,A48,3-Mar-06,438025.57
1118,A49,3-Apr-06,338035.97
1119,A50,3-May-06,242446.75
1120,A51,3-Jun-06,309674.92
1121,A52,3-Jul-06,470475.57
1122,A53,3-Aug-06,50308.75
1123,A54,3-Sep-06,490775.95
1124,A55,3-Oct-06,201404.18
1125,A56,3-Nov-06,310371.26
1126,A57,3-Dec-06,194338.11
1127,A58,12-Jan-04,229993.67
1128,A59,3-Jan-04,122801.18
1129,A60,15-Jan-04,73528.67
1130,A61,25-Jan-04,22660.5
1131,A60,17-Jan-05,76322.99
1132,A61,23-Feb-05,113049.21
1133,A62,1-Feb-05,217528.5
1134,A36,5-Feb-04,498238.63
1135,A37,28-Feb-05,4723.41
1136,A38,16-Feb-05,77653.56
1137,A39,23-Feb-05,196307.11
1138,A40,3-Feb-05,88240.86
1139,A41,4-Feb-06,121807.91
1140,A42,25-Mar-06,42983.77
1141,A43,31-Mar-06,2561.06
1142,A44,23-Mar-06,184547.57
1143,A45,24-Mar-06,181649.04
1144,A46,25-Mar-06,272345.45
1145,A47,26-Mar-06,294130.86
1146,A48,27-Mar-06,126055.47
1147,A49,28-Mar-06,470885.58
1148,A50,29-Mar-06,373924.08
1149,A51,30-Mar-06,12217.2
1150,A52,31-Mar-06,320482.17
1151,A53,1-Apr-06,269353.5
1152,A54,2-Apr-06,337247.97
1153,A55,3-Apr-06,356937.28
1154,A56,4-Apr-06,456814.78
1155,A57,12-Jan-04,497223.08
1156,A58,3-Jan-04,30540.35
1157,A59,15-Jan-04,254230.01
1158,A60,25-Jan-04,196802.28
1159,A61,12-Jan-04,390380.18
1160,A60,3-Jan-04,487241.12
1161,A61,15-Jan-04,300217.24
1162,A62,25-Jan-04,247068.28
1163,A36,12-Jan-04,209008.14
1164,A37,3-Jan-04,186510.96
1165,A38,15-Jan-04,232352.49
1166,A39,25-Jan-04,247152.18
1167,A40,12-Jan-04,74607.54
1168,A41,3-Jan-04,69094.52
1169,A42,15-Jan-04,177932.57
1170,A43,12-Jan-04,226307.37
1171,A44,3-Jan-04,271526.06
1172,A45,15-Jan-04,357873.8
1173,A46,25-Jan-04,13614.32
1174,A47,17-Jan-05,286012.09
1175,A48,23-Feb-05,98805.74
1176,A49,1-Feb-05,262975.77
1177,A50,5-Feb-04,240576.07
1178,A51,28-Feb-05,214135.31
1179,A52,16-Feb-05,251012.55
1180,A53,23-Feb-05,79923.09
1181,A54,3-Feb-05,381877.88
1182,A55,4-Feb-06,364518.29
1183,A56,25-Mar-06,59694.75
1184,A57,31-Mar-06,495646.28
1185,A58,23-Mar-06,263028.06
1186,A59,19-Mar-04,175922.46
1187,A60,5-Mar-06,80510.35
1188,A61,4-Apr-05,277482.68
1189,A60,30-Apr-06,65442.61
1190,A61,25-Apr-04,388527.73
1191,A62,19-Apr-06,29083.79
1192,A36,6-Apr-04,63637.32
1193,A37,27-Apr-05,49279.16
1194,A38,5-May-04,74133.81
1195,A39,6-May-06,73591.59
1196,A40,7-May-05,12245.37
1197,A41,8-May-06,238512.8
1198,A42,9-May-05,328130.36
1199,A43,10-May-06,93174.27
1200,A44,11-Jul-06,285921.61
1201,A45,12-Aug-05,226289.58
1202,A46,17-Jan-05,263405.92
1203,A47,23-Feb-05,100763.66
1204,A48,1-Feb-05,95816.22
1205,A49,5-Feb-04,442503.44
1206,A50,28-Feb-05,251256.98
1207,A51,16-Feb-05,6145.92
1208,A52,23-Feb-05,91991.28
1209,A53,3-Feb-05,498258.64
1210,A54,4-Feb-06,372411.25
1211,A55,25-Mar-06,132121.96
1212,A56,31-Mar-06,432523.44
1213,A57,23-Mar-06,199804.67
1214,A58,19-Mar-04,307823.64
1215,A59,5-Mar-06,358336.67
1216,A60,4-Apr-05,442888.86
1217,A61,30-Apr-06,14909.17
1218,A60,25-Apr-04,397275.55
1219,A61,19-Apr-06,266925.06
1220,A62,6-Apr-04,433918.93
1221,A36,27-Apr-05,495838.08
1222,A37,5-May-04,139979.71
1223,A38,6-May-06,85283.88
1224,A39,7-May-05,382742.75
1225,A40,8-May-06,361842.72
1226,A41,9-May-05,126434.28
1227,A42,10-May-06,479208.1
1228,A43,11-Jul-06,448064.38
1229,A44,12-Aug-05,351400.42
1230,A45,13-Sep-04,64774.66
1231,A46,20-Nov-05,410656.47
1232,A47,21-Nov-06,32967.03
1233,A48,22-Nov-05,386282.74
1234,A49,23-Nov-04,78156.9
1235,A50,24-May-05,8304.43
1236,A51,25-May-05,74206.01
1237,A52,26-May-05,145665.69
1238,A53,27-May-05,189288.06
1239,A54,28-May-05,178099.91
1240,A55,29-May-05,129221.35
1241,A56,30-May-05,400670.11
1242,A57,31-May-05,294320.87
1243,A58,1-Jun-05,463913.14
1244,A59,2-Jun-05,10582.36
1245,A60,3-Jun-05,209871.15
1246,A61,3-Jul-05,299897.35
1247,A60,3-Aug-05,49639.08
1248,A61,3-Sep-05,154662.73
1249,A62,3-Oct-05,162860.73
1250,A36,3-Nov-05,72423.76
1251,A37,3-Dec-05,343316.99
1252,A38,3-Jan-06,296062.71
1253,A39,3-Feb-06,452779.82
1254,A40,3-Mar-06,46566.5
1255,A41,3-Apr-06,147383
1256,A42,3-May-06,121375.83
1257,A43,3-Jun-06,23525.91
1258,A44,3-Jul-06,216041.38
1259,A45,3-Aug-06,205479.86
1260,A46,3-Sep-06,23892.79
1261,A47,3-Oct-06,358785.8
1262,A48,3-Nov-06,243913.61
1263,A49,3-Dec-06,60465.21
1264,A50,12-Jan-04,326576.81
1265,A51,3-Jan-04,388214.09
1266,A52,15-Jan-04,489602.43
1267,A53,25-Jan-04,11268.5
1268,A54,17-Jan-05,203500.63
1269,A55,23-Feb-05,227481.16
1270,A56,1-Feb-05,114515.1
1271,A57,5-Feb-04,227773.43
1272,A58,28-Feb-05,472059.04
1273,A59,16-Feb-05,241955.01
1274,A60,23-Feb-05,392510.5
1275,A61,3-Feb-05,483148.94
1276,A60,4-Feb-06,357159.38
1277,A61,25-Mar-06,209308.38
1278,A62,31-Mar-06,365580.94
1279,A36,23-Mar-06,345065.63
1280,A37,24-Mar-06,265079.98
1281,A38,25-Mar-06,144010.86
1282,A39,26-Mar-06,268630.62
1283,A40,27-Mar-06,114173.32
1284,A41,28-Mar-06,200769.31
1285,A42,29-Mar-06,112818.01
1286,A43,30-Mar-06,408473.76
1287,A44,31-Mar-06,172860.76
1288,A45,1-Apr-06,372124.51
1289,A46,2-Apr-06,189830.78
1290,A47,3-Apr-06,343035.67
1291,A48,4-Apr-06,193744.98
1292,A49,12-Jan-04,158492.96
1293,A50,3-Jan-04,130448.63
1294,A51,15-Jan-04,442135.48
1295,A52,25-Jan-04,120208.05
1296,A53,12-Jan-04,29037.81
1297,A54,3-Jan-04,490081
1298,A55,15-Jan-04,316028.99
1299,A56,25-Jan-04,27422.08
1300,A57,12-Jan-04,266752.62
1301,A58,3-Jan-04,71289.84
1302,A59,15-Jan-04,76539.5
1303,A60,25-Jan-04,114865.73
1304,A61,12-Jan-04,10353.52
1305,A60,3-Jan-04,79983.14
1306,A61,15-Jan-04,126629.86
1307,A62,12-Jan-04,397129.81
1308,A36,3-Jan-04,327297.15
1309,A37,15-Jan-04,212293.63
1310,A38,25-Jan-04,318585.14
1311,A39,17-Jan-05,244332.47
1312,A40,23-Feb-05,9642.77
1313,A41,1-Feb-05,151703.5
1314,A42,5-Feb-04,21545.71
1315,A43,28-Feb-05,279634.66
1316,A44,16-Feb-05,495947.66
1317,A45,23-Feb-05,465097.84
1318,A46,3-Feb-05,301106.89
1319,A47,4-Feb-06,439922.04
1320,A48,25-Mar-06,488307.93
1321,A49,31-Mar-06,264136.91
1322,A50,23-Mar-06,427345.16
1323,A51,19-Mar-04,40944.31
1324,A52,5-Mar-06,325457.14
1325,A53,4-Apr-05,339645.86
1326,A54,30-Apr-06,449605.95
1327,A55,25-Apr-04,19052.19
1328,A56,19-Apr-06,313446.31
1329,A57,6-Apr-04,290318.29
1330,A58,27-Apr-05,118652.56
1331,A59,5-May-04,188806.32
1332,A60,6-May-06,4328.28
1333,A61,7-May-05,300765.73
1334,A60,8-May-06,204437.87
1335,A61,9-May-05,455414.03
1336,A62,10-May-06,333931.24
1337,A36,11-Jul-06,213919.73
1338,A37,12-Aug-05,368760.27
1339,A38,13-Sep-04,345877.86
1340,A39,20-Nov-05,411995.72
1341,A40,21-Nov-06,158553.86
1342,A41,22-Nov-05,222973.42
1343,A42,23-Nov-04,362899.7
1344,A43,24-May-05,371725.97
1345,A44,25-May-05,316407.62
1346,A45,5-May-04,10405.48
1347,A46,6-May-06,388392.43
1348,A47,7-May-05,173964.56
1349,A48,8-May-06,469730.31
1350,A49,9-May-05,41582.38
1351,A50,10-May-06,121273.54
1352,A51,11-Jul-06,415217.08
1353,A52,12-Aug-05,345394.74
1354,A53,13-Sep-04,102929.32
1355,A54,20-Nov-05,233706.14
1356,A55,21-Nov-06,93579.24
1357,A56,22-Nov-05,203251.42
1358,A57,23-Nov-04,105865.88
1359,A58,24-May-05,241401.66
1360,A59,25-May-05,176964.24
1361,A60,26-May-05,191817.83
1362,A61,27-May-05,494436.86
1363,A60,17-Jan-05,367052.39
1364,A61,23-Feb-05,4270.82
1365,A62,1-Feb-05,147917.74
1366,A36,5-Feb-04,8684.4
1367,A37,28-Feb-05,135124.83
1368,A38,16-Feb-05,488509.37
1369,A39,23-Feb-05,455199.85
1370,A40,3-Feb-05,498705.93
1371,A41,4-Feb-06,236112.79
1372,A42,25-Mar-06,215169.32
1373,A43,31-Mar-06,385497.32
1374,A44,23-Mar-06,314865.2
1375,A45,19-Mar-04,469461.95
1376,A46,5-Mar-06,87541.8
1377,A47,4-Apr-05,67703.39
1378,A48,30-Apr-06,469317.86
1379,A49,25-Apr-04,331737.44
1380,A50,19-Apr-06,400356.35
1381,A51,6-Apr-04,315663.16
1382,A52,27-Apr-05,186362.03
1383,A53,5-May-04,389063.67
1384,A54,6-May-06,316239.38
1385,A55,7-May-05,280192.28
1386,A56,8-May-06,307906.07
1387,A57,9-May-05,213950.24
1388,A58,10-May-06,2885.23
1389,A59,11-Jul-06,248922.33
1390,A60,12-Aug-05,380378.98
1391,A61,13-Sep-04,197912.13
1392,A60,20-Nov-05,294357.01
1393,A61,21-Nov-06,423828.84
1394,A62,22-Nov-05,301368.91
1395,A36,23-Nov-04,110114.4
1396,A37,24-May-05,418293.51
1397,A38,25-May-05,403693.93
1398,A39,26-May-05,368886.48
1399,A40,27-May-05,375790.65
1400,A41,28-May-05,405799.97
1401,A42,29-May-05,281673.17
1402,A43,30-May-05,386613.63
1403,A44,31-May-05,319725.99
1404,A45,1-Jun-05,303151.38
1405,A46,2-Jun-05,341607.11
1406,A47,3-Jun-05,341903.77
1407,A48,3-Jul-05,286146.08
1408,A49,3-Aug-05,321122.85
1409,A50,3-Sep-05,291161.44
1410,A51,3-Oct-05,78996.7
1411,A52,3-Nov-05,107869.48
1412,A53,3-Dec-05,457386.2
1413,A54,3-Jan-06,313826.33
1414,A55,3-Feb-06,460990.55
1415,A56,3-Mar-06,263951.05
1416,A57,3-Apr-06,77377.57
1417,A58,3-May-06,384545.52
1418,A59,3-Jun-06,379170.05
1419,A60,3-Jul-06,273877.36
1420,A61,3-Aug-06,197804.13
1421,A60,3-Sep-06,348314.61
1422,A61,3-Oct-06,289863.84
1423,A62,3-Nov-06,496752.69
1424,A36,3-Dec-06,146321.26
1425,A37,12-Jan-04,475932.34
1426,A38,3-Jan-04,380510.36
1427,A39,15-Jan-04,34423.35
1428,A40,25-Jan-04,75969.07
1429,A41,17-Jan-05,339184.49
1430,A42,23-Feb-05,454667.52
1431,A43,1-Feb-05,484212.27
1432,A44,5-Feb-04,113508.29
1433,A45,28-Feb-05,73404.9
1434,A46,16-Feb-05,323510.57
1435,A47,23-Feb-05,142961.13
1436,A48,3-Feb-05,95479.2
1437,A49,4-Feb-06,15546.35
1438,A50,25-Mar-06,480565.12
1439,A51,31-Mar-06,14203.78
1440,A52,23-Mar-06,350749.3
1441,A53,24-Mar-06,199377.19
1442,A54,25-Mar-06,100719.74
1443,A55,26-Mar-06,6998.51
1444,A56,27-Mar-06,491227.07
1445,A57,28-Mar-06,272993.36
1446,A58,29-Mar-06,451134.94
1447,A59,30-Mar-06,267436.51
1448,A60,31-Mar-06,28857.2
1449,A61,1-Apr-06,493770.08
1450,A60,2-Apr-06,357154.87
1451,A61,3-Apr-06,445448
1452,A62,4-Apr-06,164796.79
1453,A63,12-Jan-04,372179.26
1454,A36,3-Jan-04,224759.64
1455,A37,15-Jan-04,172120.27
1456,A38,25-Jan-04,73381.99
1457,A39,12-Jan-04,257117.37
1458,A40,3-Jan-04,30789.11
1459,A41,15-Jan-04,365627.28
1460,A42,25-Jan-04,464675.51
1461,A43,12-Jan-04,296859.59
1462,A44,3-Jan-04,472428.57
1463,A45,15-Jan-04,195249.7
1464,A46,25-Jan-04,112370.26
1465,A47,12-Jan-04,148075.49
1466,A48,3-Jan-04,380432.38
1467,A49,15-Jan-04,148187.72
1468,A50,12-Jan-04,25086.07
1469,A51,3-Jan-04,82082.48
1470,A52,15-Jan-04,63849.18
1471,A53,25-Jan-04,428893.02
1472,A54,17-Jan-05,146991.03
1473,A55,23-Feb-05,71140.33
1474,A56,1-Feb-05,55025.09
1475,A57,5-Feb-04,285552.8
1476,A58,28-Feb-05,91583.97
1477,A59,16-Feb-05,337836.23
1478,A60,23-Feb-05,14227.86
1479,A61,3-Feb-05,432084.39
1480,A60,4-Feb-06,398856.11
1481,A61,25-Mar-06,173324.28
1482,A62,31-Mar-06,180670.24
1483,A56,23-Mar-06,113871.65
1484,A57,19-Mar-04,207786.09
1485,A58,5-Mar-06,8746.94
1486,A59,4-Apr-05,16652.72
1487,A60,30-Apr-06,183029.6
1488,A61,25-Apr-04,233180.43
1489,A60,19-Apr-06,187041.66
1490,A61,6-Apr-04,322806.69
1491,A62,27-Apr-05,287805.43
1492,A63,5-May-04,416676.34
1493,A64,6-May-06,110614.61
1494,A65,7-May-05,230667.34
1495,A66,8-May-06,113094.58
1496,A67,9-May-05,55638.77
1497,A68,10-May-06,319836.49
1498,A69,11-Jul-06,247628.45
1499,A70,12-Aug-05,454016.51
1500,A71,13-Sep-04,56286.33
